Date ,TP Outturn,Cycles,Net profit,,,2 cycles scenario,,,,,,,
07/06/2018,7.038752,1.999645455,127.8333492,,,,,,,,,,
08/06/2018,6.876,1.953409091,138.7697124,,,,,,,,,,
09/06/2018,6,1.704545455,204.2832143,,,,,,,,,,
10/06/2018,7.038752,1.999645455,170.2445086,,,,,,,,,,
11/06/2018,7.038752,1.999645455,253.8963429,,,,,,,,,,
12/06/2018,5.938,1.686931818,128.6735059,,,,,,,,,,
13/06/2018,7.038752,1.999645455,167.9700666,,,,,,,,,,
14/06/2018,7.038752,1.999645455,195.9671468,,,,,,,,,,
15/06/2018,7.038752,1.999645455,137.7561641,,,,,,,,,,
16/06/2018,7.038752,1.999645455,205.9446353,,,,,,,,,,
17/06/2018,7.038752,1.999645455,186.786161,,,,,,,,,,
18/06/2018,7.038752,1.999645455,121.6394,,,,,,,,,,
19/06/2018,7.038752,1.999645455,138.225389,,,,,,,,,,
20/06/2018,7.038752,1.999645455,188.5170398,,,,,,,,,,
21/06/2018,7.038752,1.999645455,181.9428036,,,,,,,,,,
22/06/2018,7.038752,1.999645455,130.9434753,,,,,,,,,,
23/06/2018,7.038752,1.999645455,135.8651793,,,,,,,,,,
24/06/2018,7.038752,1.999645455,102.9539001,,,,,,,,,,
25/06/2018,6.538752,1.8576,87.72788275,,,,,,,,,,
26/06/2018,7.038752,1.999645455,222.8182534,,,,,,,,,,
27/06/2018,7.038752,1.999645455,146.6479458,,,,,,,,,,
28/06/2018,7.038752,1.999645455,310.4931666,,,,,,,,,,
29/06/2018,7.038752,1.999645455,113.8772686,,,,,,,,,,
30/06/2018,7.038752,1.999645455,167.7823576,,,,,,,,,,
01/07/2018,7.038752,1.999645455,121.8081202,,,,,,,,,,
02/07/2018,7.038752,1.999645455,122.5020452,,,,,,,,,,
03/07/2018,6.569752,1.866406818,177.0341926,,,,,,,,,,
04/07/2018,7.038752,1.999645455,246.3256276,,,,,,,,,,
05/07/2018,7.038752,1.999645455,87.36863496,,,,,,,,,,
06/07/2018,7.038752,1.999645455,209.0927723,,,,,,,,,,
07/07/2018,7.038752,1.999645455,198.6340423,,,,,,,,,,
08/07/2018,7.038752,1.999645455,127.6219983,,,,,,,,,,
09/07/2018,7.038752,1.999645455,181.8532714,,,,,,,,,,
10/07/2018,7.038752,1.999645455,386.7480372,,,,,,,,,,
11/07/2018,7.038752,1.999645455,154.1928214,,,,,,,,,,
12/07/2018,7.038752,1.999645455,177.0202957,,,,,,,,,,
13/07/2018,7.038752,1.999645455,149.1526299,,,,,,,,,,
14/07/2018,6.538752,1.8576,118.8392918,,,,,,,,,,
15/07/2018,7.038752,1.999645455,110.8063189,,,,,,,,,,
16/07/2018,7.038752,1.999645455,194.9291718,,,,,,,,,,
17/07/2018,7.038752,1.999645455,319.5381175,,,,,,,,,,
18/07/2018,7.038752,1.999645455,158.9269552,,,,,,,,,,
19/07/2018,7.038752,1.999645455,163.5751209,,,,,,,,,,
20/07/2018,7.038752,1.999645455,157.4576013,,,,,,,,,,
21/07/2018,7.038752,1.999645455,125.4658342,,,,,,,,,,
22/07/2018,7.038752,1.999645455,156.1541835,,,,,,,,,,
23/07/2018,7.038752,1.999645455,284.2552178,,,,,,,,,,
24/07/2018,7.038752,1.999645455,149.863437,,,,,,,,,,
25/07/2018,7.038752,1.999645455,87.71986798,,,,,,,,,,
26/07/2018,7.038752,1.999645455,117.8964619,,,,,,,,,,
27/07/2018,7.038752,1.999645455,227.6805555,,,,,,,,,,
28/07/2018,7.038752,1.999645455,262.4202324,,,,,,,,,,
29/07/2018,7.038752,1.999645455,167.0088503,,,,,,,,,,
30/07/2018,6.538752,1.8576,232.8427278,,,,,,,,,,
31/07/2018,6.538752,1.8576,158.9978812,,,,,,,,,,
01/08/2018,7.038752,1.999645455,322.1055202,,,,,,,,,,
02/08/2018,6.538752,1.8576,125.9655475,,,,,,,,,,
03/08/2018,7.038752,1.999645455,156.4955306,,,,,,,,,,
04/08/2018,7.038752,1.999645455,140.0752153,,,,,,,,,,
05/08/2018,7.038752,1.999645455,171.3357279,,,,,,,,,,
06/08/2018,7.038752,1.999645455,115.6448602,,,,,,,,,,
07/08/2018,7.038752,1.999645455,160.8245444,,,,,,,,,,
08/08/2018,7.038752,1.999645455,109.6410394,,,,,,,,,,
09/08/2018,7.038752,1.999645455,110.6072181,,,,,,,,,,
10/08/2018,7.038752,1.999645455,328.3590226,,,,,,,,,,
11/08/2018,7.038752,1.999645455,137.012136,,,,,,,,,,
12/08/2018,6.957376,1.976527273,248.9805806,,,,,,,,,,
13/08/2018,7.038752,1.999645455,147.5084407,,,,,,,,,,
14/08/2018,7.038752,1.999645455,162.4309813,,,,,,,,,,
15/08/2018,7.038752,1.999645455,94.64714984,,,,,,,,,,
16/08/2018,7.038752,1.999645455,157.5087196,,,,,,,,,,
17/08/2018,6.569752,1.866406818,201.208846,,,,,,,,,,
18/08/2018,7.038752,1.999645455,280.6203669,,,,,,,,,,
19/08/2018,7.038752,1.999645455,182.3517775,,,,,,,,,,
20/08/2018,7.038752,1.999645455,371.7431833,,,,,,,,,,
21/08/2018,7.038752,1.999645455,190.2133814,,,,,,,,,,
22/08/2018,7.038752,1.999645455,200.4789941,,,,,,,,,,
23/08/2018,7.038752,1.999645455,207.7308885,,,,,,,,,,
24/08/2018,7.038752,1.999645455,200.8483604,,,,,,,,,,
25/08/2018,7.038752,1.999645455,358.1825397,,,,,,,,,,
26/08/2018,7.038752,1.999645455,198.0309992,,,,,,,,,,
27/08/2018,7.038752,1.999645455,280.4566385,,,,,,,,,,
28/08/2018,7.038752,1.999645455,217.4145087,,,,,,,,,,
29/08/2018,7.038752,1.999645455,182.9341859,,,,,,,,,,
30/08/2018,6.988376,1.985334091,210.0641053,,,,,,,,,,
31/08/2018,7.038752,1.999645455,227.041451,,,,,,,,,,
01/09/2018,7.038752,1.999645455,228.5742009,,,,,,,,,,
02/09/2018,7.038752,1.999645455,132.9856417,,,,,,,,,,
03/09/2018,7.038752,1.999645455,142.9923923,,,,,,,,,,
04/09/2018,7.038752,1.999645455,173.7108697,,,,,,,,,,
05/09/2018,7.038752,1.999645455,203.1797609,,,,,,,,,,
06/09/2018,7.038752,1.999645455,140.1680179,,,,,,,,,,
07/09/2018,7.038752,1.999645455,165.3786102,,,,,,,,,,
08/09/2018,7.038752,1.999645455,163.8635455,,,,,,,,,,
09/09/2018,7.038752,1.999645455,264.2772878,,,,,,,,,,
10/09/2018,7.038752,1.999645455,235.8317415,,,,,,,,,,
11/09/2018,7.038752,1.999645455,286.9620084,,,,,,,,,,
12/09/2018,7.038752,1.999645455,185.1400347,,,,,,,,,,
13/09/2018,7.038752,1.999645455,182.4415584,,,,,,,,,,
14/09/2018,7.038752,1.999645455,201.8538042,,,,,,,,,,
15/09/2018,7.038752,1.999645455,235.2002609,,,,,,,,,,
16/09/2018,7.038752,1.999645455,344.6355283,,,,,,,,,,
17/09/2018,6.569752,1.866406818,203.9219494,,,,,,,,,,
18/09/2018,7.038752,1.999645455,295.4554623,,,,,,,,,,
19/09/2018,7.038752,1.999645455,431.3204945,,,,,,,,,,
20/09/2018,7.019376,1.994140909,266.5159494,,,,,,,,,,
21/09/2018,7.038752,1.999645455,359.6603916,,,,,,,,,,
22/09/2018,7.038752,1.999645455,236.1645154,,,,,,,,,,
23/09/2018,7.038752,1.999645455,167.1475422,,,,,,,,,,
24/09/2018,7.038752,1.999645455,173.3345895,,,,,,,,,,
25/09/2018,7.038752,1.999645455,233.1080661,,,,,,,,,,
26/09/2018,7.038752,1.999645455,232.7124215,,,,,,,,,,
27/09/2018,7.038752,1.999645455,210.1241731,,,,,,,,,,
28/09/2018,7.038752,1.999645455,167.9107809,,,,,,,,,,
29/09/2018,7.038752,1.999645455,152.1644647,,,,,,,,,,
30/09/2018,7.038752,1.999645455,166.6386235,,,,,,,,,,
01/10/2018,5.628,1.598863636,148.3995007,,,,,,,,,,
02/10/2018,7.038752,1.999645455,100.7419502,,,,,,,,,,
03/10/2018,6,1.704545455,156.1608866,,,,,,,,,,
04/10/2018,7.038752,1.999645455,145.3180304,,,,,,,,,,
05/10/2018,2,0.568181818,113.3784541,,,,,,,,,,
06/10/2018,7.038752,1.999645455,123.8538685,,,,,,,,,,
07/10/2018,7.038752,1.999645455,122.0796138,,,,,,,,,,
08/10/2018,7.038752,1.999645455,187.7552918,,,,,,,,,,
09/10/2018,7.038752,1.999645455,277.0936324,,,,,,,,,,
10/10/2018,7.038752,1.999645455,122.3956901,,,,,,,,,,
11/10/2018,7.038752,1.999645455,169.5191191,,,,,,,,,,
12/10/2018,7,1.988636364,326.7081016,,,,,,,,,,
13/10/2018,7.038752,1.999645455,273.0999799,,,,,,,,,,
14/10/2018,6,1.704545455,282.3463477,,,,,,,,,,
15/10/2018,7.038752,1.999645455,278.2237682,,,,,,,,,,
16/10/2018,7.038752,1.999645455,178.9894804,,,,,,,,,,
17/10/2018,6.938,1.971022727,139.1560802,,,,,,,,,,
18/10/2018,7.038752,1.999645455,180.2268712,,,,,,,,,,
19/10/2018,7.038752,1.999645455,140.497279,,,,,,,,,,
20/10/2018,7.038752,1.999645455,122.8580146,,,,,,,,,,
21/10/2018,7.038752,1.999645455,132.4035718,,,,,,,,,,
22/10/2018,7.038752,1.999645455,173.8180483,,,,,,,,,,
23/10/2018,7.038752,1.999645455,229.9391504,,,,,,,,,,
24/10/2018,7.038752,1.999645455,259.7019122,,,,,,,,,,
25/10/2018,7.038752,1.999645455,194.8286721,,,,,,,,,,
26/10/2018,7.038752,1.999645455,135.7555031,,,,,,,,,,
27/10/2018,7.038752,1.999645455,196.0971967,,,,,,,,,,
28/10/2018,7.038752,1.999645455,240.4331823,,,,,,,,,,
29/10/2018,7.038752,1.999645455,246.5776967,,,,,,,,,,
30/10/2018,7.038752,1.999645455,203.0487617,,,,,,,,,,
31/10/2018,7.038752,1.999645455,245.3579559,,,,,,,,,,
01/11/2018,7.038752,1.999645455,374.505439,,,,,,,,,,
02/11/2018,7.038752,1.999645455,168.615016,,,,,,,,,,
03/11/2018,5.438,1.544886364,213.1326761,,,,,,,,,,
04/11/2018,7.038752,1.999645455,270.8926366,,,,,,,,,,
05/11/2018,7.038752,1.999645455,128.9412542,,,,,,,,,,
06/11/2018,6.988376,1.985334091,156.5117503,,,,,,,,,,
07/11/2018,6.938,1.971022727,132.8628502,,,,,,,,,,
08/11/2018,6.538752,1.8576,140.3951825,,,,,,,,,,
09/11/2018,7.038752,1.999645455,228.7742627,,,,,,,,,,
10/11/2018,7.038752,1.999645455,315.5305575,,,,,,,,,,
11/11/2018,7.038752,1.999645455,161.6286919,,,,,,,,,,
12/11/2018,6,1.704545455,136.7251928,,,,,,,,,,
13/11/2018,7.038752,1.999645455,191.7219651,,,,,,,,,,
14/11/2018,7.038752,1.999645455,220.2766971,,,,,,,,,,
15/11/2018,7.038752,1.999645455,221.4699641,,,,,,,,,,
